,Date,PM2.5 AQI Value,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
217,8/5/20,69,Pala Airpad,06-073-1201,AQS,65,34,56.6,8/5/08,8/5/14
218,8/6/20,64,Pala Airpad,06-073-1201,AQS,66,35,59.4,8/6/18,8/6/07
219,8/7/20,59,Pala Airpad,06-073-1201,AQS,75,34,58.4,8/7/19,8/7/09
220,8/8/20,58,Pala Airpad,06-073-1201,AQS,71,36,62,8/8/19,8/8/13
221,8/9/20,62,Pala Airpad,06-073-1201,AQS,73,44,62,8/9/02,8/9/10
222,8/10/20,62,Pala Airpad,06-073-1201,AQS,73,46,61,8/10/18,8/10/08
223,8/11/20,61,Pala Airpad,06-073-1201,AQS,71,40,54.6,8/11/02,8/11/15
224,8/12/20,63,Pala Airpad,06-073-1201,AQS,76,40,51.6,8/12/02,8/12/15
225,8/13/20,71,Pala Airpad,06-073-1201,AQS,79,41,53.2,8/13/02,8/13/18
226,8/14/20,70,Donovan,06-073-1014,AQS,82,32,58.4,8/14/02,8/14/14
227,8/15/20,65,Donovan,06-073-1014,AQS,82,30,54.8,8/15/02,8/15/14
228,8/16/20,75,Pala Airpad,06-073-1201,AQS,101,38,56.8,8/16/08,8/16/14
229,8/17/20,72,Pala Airpad,06-073-1201,AQS,74,33,60.4,8/17/02,8/17/14
230,8/18/20,76,Pala Airpad,06-073-1201,AQS,77,44,61,8/18/09,8/18/05
231,8/19/20,75,Pala Airpad,06-073-1201,AQS,74,35,56.4,8/19/09,8/19/05
232,8/20/20,74,Pala Airpad,06-073-1201,AQS,74,34,55.6,8/20/18,8/20/08
233,8/21/20,82,Pala Airpad,06-073-1201,AQS,84,36,64.8,8/21/18,8/21/04
234,8/22/20,88,Pala Airpad,06-073-1201,AQS,89,28,67.2,8/22/18,8/22/04
235,8/23/20,77,Pala Airpad,06-073-1201,AQS,97,23,62,8/23/13,8/23/04
236,8/24/20,60,Pala Airpad,06-073-1201,AQS,93,21,69.6,8/24/18,8/24/04
237,8/25/20,74,Pala Airpad,06-073-1201,AQS,110,29,73.4,8/25/18,8/25/14
238,8/26/20,79,Pala Airpad,06-073-1201,AQS,142,37,82,8/26/18,8/26/04
239,8/27/20,63,Pala Airpad,06-073-1201,AQS,91,35,65.8,8/27/18,8/27/04
240,8/28/20,68,Pala Airpad,06-073-1201,AQS,83,43,65,8/28/18,8/28/07
241,8/29/20,90,Pala Airpad,06-073-1201,AQS,80,37,69.2,8/29/17,8/29/00
242,8/30/20,59,Pala Airpad,06-073-1201,AQS,88,34,64.4,8/30/17,8/30/00
243,8/31/20,58,Pala Airpad,06-073-1201,AQS,76,31,64.6,8/31/17,8/31/00
244,9/1/20,59,Pala Airpad,06-073-1201,AQS,77,32,66.8,9/1/18,9/1/13
245,9/2/20,60,Pala Airpad,06-073-1201,AQS,74,28,64.6,9/2/18,9/2/00
246,9/3/20,65,Pala Airpad,06-073-1201,AQS,72,25,54,9/3/10,9/3/00
247,9/4/20,73,Donovan,06-073-1014,AQS,64,33,56.6,9/4/17,9/4/00
248,9/5/20,94,Donovan,06-073-1014,AQS,76,46,58.2,9/5/02,9/5/00
249,9/6/20,105,Pala Airpad,06-073-1201,AQS,68,39,57,9/6/08,9/6/18
250,9/7/20,119,Pala Airpad,06-073-1201,AQS,71,38,59,9/7/08,9/7/02
251,9/8/20,104,Pala Airpad,06-073-1201,AQS,71,40,61.6,9/8/08,9/8/07
252,9/9/20,74,Pala Airpad,06-073-1201,AQS,76,31,66,9/9/15,9/9/10
253,9/10/20,92,Pala Airpad,06-073-1201,AQS,62,36,59.2,9/10/18,9/10/05
254,9/11/20,99,Donovan,06-073-1014,AQS,67,36,60.4,9/11/00,9/11/05
255,9/12/20,138,San Diego - Sherman Elementary School,06-073-1026,AQS,80,34,57.4,9/12/00,9/12/05
256,9/13/20,161,Pala Airpad,06-073-1201,AQS,80,39,50.4,9/13/00,9/13/16
257,9/14/20,172,Pala Airpad,06-073-1201,AQS,85,29,50.2,9/14/08,9/14/09
258,9/15/20,162,Pala Airpad,06-073-1201,AQS,85,15,46,9/15/08,9/15/15
259,9/16/20,163,Pala Airpad,06-073-1201,AQS,77,22,50,9/16/00,9/16/15
260,9/17/20,163,Pala Airpad,06-073-1201,AQS,75,28,53.2,9/17/08,9/17/15
261,9/18/20,124,Pala Airpad,06-073-1201,AQS,78,37,55.8,9/18/08,9/18/14
262,9/19/20,81,Donovan,06-073-1014,AQS,86,20,55.2,9/19/11,9/19/14
263,9/20/20,83,Pala Airpad,06-073-1201,AQS,77,25,56.2,9/20/01,9/20/07
264,9/21/20,79,Pala Airpad,06-073-1201,AQS,76,25,58.2,9/21/01,9/21/07
265,9/22/20,83,Pala Airpad,06-073-1201,AQS,81,20,57.8,9/22/12,9/22/07
266,9/23/20,72,Donovan,06-073-1014,AQS,80,15,58.6,9/23/02,9/23/00
267,9/24/20,80,Donovan,06-073-1014,AQS,91,23,65.6,9/24/15,9/24/00
268,9/25/20,77,Pala Airpad,06-073-1201,AQS,77,37,58.6,9/25/03,9/25/14
269,9/26/20,83,Pala Airpad,06-073-1201,AQS,99,31,58.4,9/26/03,9/26/14
270,9/27/20,82,Pala Airpad,06-073-1201,AQS,80,31,60.8,9/27/03,9/27/14
271,9/28/20,74,Pala Airpad,06-073-1201,AQS,78,24,58.8,9/28/18,9/28/02
272,9/29/20,87,Pala Airpad,06-073-1201,AQS,89,17,55,9/29/01,9/29/02
273,9/30/20,90,Donovan,06-073-1014,AQS,69,22,60.4,9/30/15,9/30/02
274,10/1/20,104,Donovan,06-073-1014,AirNow,104,28,57.6,10/1/00,10/1/02
275,10/2/20,98,Donovan,06-073-1014,AirNow,96,43,52,10/2/00,10/2/02
276,10/3/20,105,Donovan,06-073-1014,AirNow,81,23,56,10/3/01,10/3/06
277,10/4/20,124,Donovan,06-073-1014,AirNow,64,24,49,10/4/19,10/4/06
278,10/5/20,147,Donovan,06-073-1014,AirNow,81,20,43.4,10/5/03,10/5/18
279,10/6/20,123,Donovan,06-073-1014,AirNow,107,22,58,10/6/03,10/6/06
280,10/7/20,80,El Cajon - Lexington Elementary School,06-073-1022,AirNow,96,32,54.6,10/7/04,10/7/07
281,10/8/20,64,Alpine,06-073-1006,AirNow,100,33,63.2,10/8/04,10/8/07
282,10/9/20,64,Donovan,06-073-1014,AirNow,92,39,62.4,10/9/03,10/9/13
283,10/10/20,49,Alpine,06-073-1006,AirNow,77,25,57.2,10/10/01,10/10/00
284,10/11/20,28,Alpine,06-073-1006,AirNow,77,28,57.6,10/11/01,10/11/07
285,10/12/20,69,Donovan,06-073-1014,AirNow,82,22,54.6,10/12/01,10/12/09
286,10/13/20,90,Donovan,06-073-1014,AirNow,93,25,56,10/13/02,10/13/07
287,10/14/20,88,Donovan,06-073-1014,AirNow,110,21,56.2,10/14/02,10/14/09
288,10/15/20,92,Donovan,06-073-1014,AirNow,89,27,52.2,10/15/01,10/15/06
289,10/16/20,88,Donovan,06-073-1014,AirNow,98,26,49.4,10/16/01,10/16/16
290,10/17/20,77,Donovan,06-073-1014,AirNow,135,23,50.2,10/17/03,10/17/16
291,10/18/20,71,Donovan,06-073-1014,AirNow,105,25,49.6,10/18/03,10/18/15
292,10/19/20,59,Donovan,06-073-1014,AirNow,89,14,57.2,10/19/00,10/19/04
293,10/20/20,47,Alpine,06-073-1006,AirNow,118,19,50.2,10/20/00,10/20/04
294,10/21/20,56,Donovan,06-073-1014,AirNow,115,27,53.4,10/21/05,10/21/12
295,10/22/20,59,Donovan,06-073-1014,AirNow,186,31,56.8,10/22/07,10/22/04
296,10/23/20,53,Donovan,06-073-1014,AirNow,188,33,62.4,10/23/07,10/23/12
297,10/24/20,39,El Cajon - Lexington Elementary School,06-073-1022,AirNow,163,34,63.6,10/24/07,10/24/12
298,10/25/20,17,El Cajon - Lexington Elementary School,06-073-1022,AirNow,135,28,58.8,10/25/07,10/25/10
299,10/26/20,53,Donovan,06-073-1014,AirNow,176,36,66.8,10/26/03,10/26/00
300,10/27/20,68,Camp Pendleton,06-073-1008,AirNow,289,28,69.2,10/27/03,10/27/04
301,10/28/20,79,Donovan,06-073-1014,AirNow,143,23,73.6,10/28/07,10/28/05
302,10/29/20,73,Camp Pendleton,06-073-1008,AirNow,119,28,61.2,10/29/03,10/29/00
303,10/30/20,79,Donovan,06-073-1014,AirNow,79,25,57.8,10/30/07,10/30/00
304,10/31/20,71,Donovan,06-073-1014,AirNow,98,26,58.2,10/31/19,10/31/17
305,11/1/20,66,San Diego - Sherman Elementary School,06-073-1026,AirNow,94,24,49.4,11/1/07,11/1/03
306,11/2/20,81,Donovan,06-073-1014,AirNow,121,27,46.6,11/2/07,11/2/17
307,11/3/20,76,Donovan,06-073-1014,AirNow,129,21,49.2,11/3/02,11/3/15
308,11/4/20,91,Donovan,06-073-1014,AirNow,114,32,57.2,11/4/01,11/4/15
309,11/5/20,78,Donovan,06-073-1014,AirNow,117,31,57.8,11/5/01,11/5/17
310,11/6/20,75,Donovan,06-073-1014,AirNow,133,37,59.4,11/6/07,11/6/14
311,11/7/20,29,El Cajon - Lexington Elementary School,06-073-1022,AirNow,134,35,65,11/7/03,11/7/14
312,11/8/20,29,El Cajon - Lexington Elementary School,06-073-1022,AirNow,127,25,64,11/8/01,11/8/02
313,11/9/20,35,San Diego - Sherman Elementary School,06-073-1026,AirNow,114,16,53.2,11/9/01,11/9/02
314,11/10/20,44,El Cajon - Lexington Elementary School,06-073-1022,AirNow,88,29,54.6,11/10/09,11/10/05
315,11/11/20,53,Donovan,06-073-1014,AirNow,80,31,61.8,11/11/19,11/11/10
316,11/12/20,50,Donovan,06-073-1014,AirNow,91,43,66.2,11/12/19,11/12/06
317,11/13/20,55,El Cajon - Lexington Elementary School,06-073-1022,AirNow,103,31,68,11/13/19,11/13/01
318,11/14/20,54,El Cajon - Lexington Elementary School,06-073-1022,AirNow,106,32,65,11/14/05,11/14/14
319,11/15/20,54,El Cajon - Lexington Elementary School,06-073-1022,AirNow,122,34,64.8,11/15/05,11/15/14
320,11/16/20,49,Donovan,06-073-1014,AirNow,97,38,66.8,11/16/01,11/16/03
321,11/17/20,55,Donovan,06-073-1014,AirNow,122,36,61.2,11/17/01,11/17/14
322,11/18/20,68,Donovan,06-073-1014,AirNow,130,33,60.4,11/18/01,11/18/14
323,11/19/20,56,Donovan,06-073-1014,AirNow,108,43,63.2,11/19/01,11/19/11
324,11/20/20,68,Donovan,06-073-1014,AirNow,126,24,64.6,11/20/07,11/20/14
325,11/21/20,93,Donovan,06-073-1014,AirNow,86,26,55,11/21/07,11/21/14
326,11/22/20,86,Donovan,06-073-1014,AirNow,86,39,51.4,11/22/02,11/22/14
327,11/23/20,64,Donovan,06-073-1014,AirNow,108,41,55.4,11/23/00,11/23/13
328,11/24/20,56,El Cajon - Lexington Elementary School,06-073-1022,AirNow,108,35,59.8,11/24/00,11/24/14
329,11/25/20,64,Donovan,06-073-1014,AirNow,134,38,61.6,11/25/00,11/25/14
330,11/26/20,68,El Cajon - Lexington Elementary School,06-073-1022,AirNow,117,39,59.2,11/26/00,11/26/18
331,11/27/20,57,El Cajon - Lexington Elementary School,06-073-1022,AirNow,120,33,56.6,11/27/00,11/27/06
332,11/28/20,60,El Cajon - Lexington Elementary School,06-073-1022,AirNow,117,29,52.8,11/28/00,11/28/06
333,11/29/20,64,El Cajon - Lexington Elementary School,06-073-1022,AirNow,96,25,45.4,11/29/00,11/29/19
334,11/30/20,55,Donovan,06-073-1014,AirNow,113,27,59.8,11/30/00,11/30/07
335,12/1/20,63,Donovan,06-073-1014,AirNow,131,37,61.2,12/1/00,12/1/12
336,12/2/20,42,San Diego - Sherman Elementary School,06-073-1026,AirNow,157,38,60,12/2/00,12/2/14
337,12/3/20,37,Donovan,06-073-1014,AirNow,155,26,59.6,12/3/00,12/3/14
338,12/4/20,54,San Diego - Sherman Elementary School,06-073-1026,AirNow,105,23,62.8,12/4/02,12/4/14
339,12/5/20,63,El Cajon - Lexington Elementary School,06-073-1022,AirNow,155,42,52.8,12/5/06,12/5/19
340,12/6/20,68,El Cajon - Lexington Elementary School,06-073-1022,AirNow,129,39,50.4,12/6/03,12/6/18
341,12/7/20,75,El Cajon - Lexington Elementary School,06-073-1022,AirNow,94,21,54,12/7/02,12/7/07
342,12/8/20,95,Donovan,06-073-1014,AirNow,134,33,63.2,12/8/00,12/8/07
343,12/9/20,70,Donovan,06-073-1014,AirNow,120,40,67.2,12/9/12,12/9/19
344,12/10/20,57,Donovan,06-073-1014,AirNow,125,31,63,12/10/12,12/10/06
345,12/11/20,56,Donovan,06-073-1014,AirNow,142,38,52.4,12/11/07,12/11/15
346,12/12/20,64,San Diego - Sherman Elementary School,06-073-1026,AirNow,83,21,58.6,12/12/01,12/12/14
347,12/13/20,59,El Cajon - Lexington Elementary School,06-073-1022,AirNow,117,30,61.6,12/13/02,12/13/12
348,12/14/20,56,Donovan,06-073-1014,AirNow,111,40,79.2,12/14/05,12/14/12
349,12/15/20,38,El Cajon - Lexington Elementary School,06-073-1022,AirNow,100,29,67.2,12/15/05,12/15/08
350,12/16/20,51,El Cajon - Lexington Elementary School,06-073-1022,AirNow,104,44,55,12/16/05,12/16/06
351,12/17/20,52,Donovan,06-073-1014,AirNow,106,24,58.4,12/17/01,12/17/14
352,12/18/20,48,San Diego - Sherman Elementary School,06-073-1026,AirNow,122,31,65.8,12/18/01,12/18/10
353,12/19/20,61,El Cajon - Lexington Elementary School,06-073-1022,AirNow,127,29,74.8,12/19/01,12/19/10
354,12/20/20,69,El Cajon - Lexington Elementary School,06-073-1022,AirNow,95,14,62.6,12/20/08,12/20/10
355,12/21/20,57,El Cajon - Lexington Elementary School,06-073-1022,AirNow,112,20,71.8,12/21/18,12/21/10
356,12/22/20,71,Donovan,06-073-1014,AirNow,110,28,65,12/22/00,12/22/15
357,12/23/20,63,San Diego - Sherman Elementary School,06-073-1026,AirNow,148,43,60.6,12/23/00,12/23/16
358,12/24/20,69,El Cajon - Lexington Elementary School,06-073-1022,AirNow,156,42,70.4,12/24/00,12/24/16
359,12/25/20,78,El Cajon - Lexington Elementary School,06-073-1022,AirNow,153,25,72.8,12/25/09,12/25/03
360,12/26/20,59,Donovan,06-073-1014,AirNow,107,32,72,12/26/02,12/26/19
361,12/27/20,65,Donovan,06-073-1014,AirNow,119,45,72.8,12/27/17,12/27/07
362,12/28/20,19,El Cajon - Lexington Elementary School,06-073-1022,AirNow,109,19,66.4,12/28/01,12/28/04
363,12/29/20,33,El Cajon - Lexington Elementary School,06-073-1022,AirNow,105,21,62.8,12/29/01,12/29/04
364,12/30/20,47,Donovan,06-073-1014,AirNow,98,31,62.2,12/30/07,12/30/14
365,12/31/20,78,San Diego - Sherman Elementary School,06-073-1026,AirNow,132,46,74.4,12/31/00,12/31/16
0,1/1/21,92,El Cajon - Lexington Elementary School,06-073-1022,AirNow,165,54,99.4,1/1/14,1/1/17
1,1/2/21,61,El Cajon - Lexington Elementary School,06-073-1022,AirNow,122,35,68.4,1/2/02,1/2/06
2,1/3/21,63,El Cajon - Lexington Elementary School,06-073-1022,AirNow,114,31,73.8,1/3/02,1/3/05
3,1/4/21,58,El Cajon - Lexington Elementary School,06-073-1022,AirNow,111,45,69.8,1/4/01,1/4/05
4,1/5/21,66,Donovan,06-073-1014,AirNow,111,14,58.4,1/5/01,1/5/08
5,1/6/21,73,Donovan,06-073-1014,AirNow,98,28,59.6,1/6/02,1/6/08
6,1/7/21,67,Donovan,06-073-1014,AirNow,114,33,53.2,1/7/01,1/7/08
10,1/11/21,44,El Cajon - Lexington Elementary School,06-073-1022,AirNow,138,19,56.6,1/11/00,1/11/05
11,1/12/21,48,El Cajon - Lexington Elementary School,06-073-1022,AirNow,107,35,58.8,1/12/14,1/12/05
12,1/13/21,53,Donovan,06-073-1014,AirNow,102,48,55.4,1/13/00,1/13/09
13,1/14/21,49,Camp Pendleton,06-073-1008,AirNow,107,34,58.6,1/14/01,1/14/08
14,1/15/21,30,San Diego - Sherman Elementary School,06-073-1026,AirNow,82,40,54.4,1/15/01,1/15/07
15,1/16/21,55,El Cajon - Lexington Elementary School,06-073-1022,AirNow,109,25,51.8,1/16/00,1/16/19
16,1/17/21,59,San Diego - Sherman Elementary School,06-073-1026,AirNow,124,47,67.2,1/17/03,1/17/08
17,1/18/21,52,El Cajon - Lexington Elementary School,06-073-1022,AirNow,122,33,59.6,1/18/04,1/18/19
18,1/19/21,36,San Diego - Sherman Elementary School,06-073-1026,AirNow,120,37,54.2,1/19/04,1/19/00
19,1/20/21,25,Donovan,06-073-1014,AirNow,105,39,61.6,1/20/02,1/20/10
20,1/21/21,30,El Cajon - Lexington Elementary School,06-073-1022,AirNow,95,25,60.6,1/21/01,1/21/10
21,1/22/21,42,Donovan,06-073-1014,AirNow,114,30,52.8,1/22/03,1/22/10
22,1/23/21,23,El Cajon - Lexington Elementary School,06-073-1022,AirNow,138,34,48.8,1/23/03,1/23/17
23,1/24/21,31,El Cajon - Lexington Elementary School,06-073-1022,AirNow,99,16,53.4,1/24/03,1/24/08
24,1/25/21,20,San Diego - Sherman Elementary School,06-073-1026,AirNow,80,33,52,1/25/02,1/25/08
25,1/26/21,30,El Cajon - Lexington Elementary School,06-073-1022,AirNow,84,37,52.4,1/26/10,1/26/15
26,1/27/21,39,El Cajon - Lexington Elementary School,06-073-1022,AirNow,75,23,58.4,1/27/16,1/27/08
27,1/28/21,46,Donovan,06-073-1014,AirNow,89,27,62.8,1/28/00,1/28/08
28,1/29/21,22,San Diego - Sherman Elementary School,06-073-1026,AirNow,92,33,66.4,1/29/03,1/29/18
29,1/30/21,58,El Cajon - Lexington Elementary School,06-073-1022,AirNow,123,37,57.6,1/30/03,1/30/18
30,1/31/21,54,El Cajon - Lexington Elementary School,06-073-1022,AirNow,82,20,57.8,1/31/19,1/31/07
31,2/1/21,56,El Cajon - Lexington Elementary School,06-073-1022,AirNow,106,43,61.6,2/1/12,2/1/16
32,2/2/21,55,Donovan,06-073-1014,AirNow,87,31,52.2,2/2/02,2/2/05
33,2/3/21,63,Donovan,06-073-1014,AirNow,88,25,63.2,2/3/02,2/3/04
34,2/4/21,54,El Cajon - Lexington Elementary School,06-073-1022,AirNow,110,27,58.2,2/4/15,2/4/19
35,2/5/21,60,Donovan,06-073-1014,AirNow,131,26,71,2/5/06,2/5/19
36,2/6/21,62,El Cajon - Lexington Elementary School,06-073-1022,AirNow,131,20,65.4,2/6/15,2/6/10
37,2/7/21,74,El Cajon - Lexington Elementary School,06-073-1022,AirNow,127,6,58.6,2/7/00,2/7/08
38,2/8/21,65,Donovan,06-073-1014,AirNow,93,37,55,2/8/00,2/8/09
39,2/9/21,60,Donovan,06-073-1014,AirNow,99,27,58.4,2/9/07,2/9/09
40,2/10/21,43,Donovan,06-073-1014,AirNow,88,24,56.6,2/10/06,2/10/00
41,2/11/21,56,Donovan,06-073-1014,AirNow,87,13,56,2/11/18,2/11/05
42,2/12/21,43,El Cajon - Lexington Elementary School,06-073-1022,AirNow,83,19,62.8,2/12/15,2/12/03
43,2/13/21,41,Donovan,06-073-1014,AirNow,117,22,65,2/13/16,2/13/01
44,2/14/21,39,El Cajon - Lexington Elementary School,06-073-1022,AirNow,86,28,55.2,2/14/16,2/14/03
45,2/15/21,51,Donovan,06-073-1014,AirNow,110,32,47.8,2/15/02,2/15/19
46,2/16/21,31,Donovan,06-073-1014,AirNow,95,28,53.2,2/16/02,2/16/11
47,2/17/21,56,Donovan,06-073-1014,AirNow,91,28,55.8,2/17/04,2/17/19
48,2/18/21,34,Donovan,06-073-1014,AirNow,99,20,46.8,2/18/08,2/18/05
49,2/19/21,43,Donovan,06-073-1014,AirNow,143,14,75,2/19/18,2/19/05
50,2/20/21,57,Donovan,06-073-1014,AirNow,94,18,58.6,2/20/15,2/20/05